电压,电流,功率
226.6,0.495,79.2
226.6,0.495,79.4
226.6,0.496,79.5
226.6,0.496,79.5
226.6,0.495,79.2
226.6,0.495,79.1
226.5,0.495,79.1
226.5,0.494,79.1
226.5,0.495,79.1
226.5,0.495,79.2
226.5,0.496,79.1
226.5,0.495,79
226.5,0.494,79.1
226.5,0.495,79.2
226.5,0.494,79.1
226.5,0.495,79.1
226.5,0.495,79.2
226.5,0.495,79
226.5,0.496,79.2
226.5,0.494,79
226.5,0.496,79.2
226.5,0.495,79.1
226.5,0.495,79.1
226.5,0.495,79.2
226.5,0.495,79.1
226.5,0.495,79.1
226.5,0.495,79.1
226.5,0.496,79.2
226.5,0.495,79.1
226.5,0.494,79.1
226.5,0.495,79.1
226.5,0.494,79.1
226.5,0.495,79.2
226.5,0.495,79.1
226.5,0.494,79.1
226.4,0.496,79.2
226.4,0.495,79.2
226.5,0.496,79.2
226.4,0.496,79
226.5,0.496,79.2
226.5,0.495,79.1
226.5,0.495,79.1
226.5,0.496,79.1
226.5,0.494,79.1
226.5,0.495,79.2
226.5,0.495,79.2
226.5,0.495,79.2
226.4,0.495,79.1
226.4,0.495,79.2
226.4,0.496,79.1
226.4,0.495,79.2
226.4,0.496,79.5
226.4,0.496,79.3
226.4,0.495,79.1
226.4,0.495,79.2
226.4,0.495,79.1
226.4,0.495,79.2
226.4,0.495,79.1
226.4,0.495,79.2
226.4,0.495,79.2
226.4,0.494,79.1
226.4,0.496,79.2
226.4,0.496,79.1
226.4,0.495,79.1
226.4,0.496,79.3
226.4,0.495,79.1
226.4,0.495,79.2
226.4,0.495,79.1
226.4,0.495,79.2
226.4,0.495,79.2
226.4,0.495,79.1
226.4,0.495,79.1
226.4,0.495,79.2
226.2,0.495,79.1
226.2,0.495,79.2
226.2,0.496,79.2
226.2,0.496,79.1
226.2,0.495,79.1
226.2,0.495,79.3
226.2,0.494,79.1
226.2,0.495,79.1
226.2,0.495,79.1
226.2,0.496,79.2
226.1,0.497,79.2
226.2,0.495,79.1
226.2,0.496,79.2
226.2,0.496,79.1
226.2,0.496,79.2
226.2,0.495,79.2
226.2,0.495,79
226.2,0.495,79.2
226.2,0.496,79.3
226.2,0.495,79
226.3,0.495,79.2
226.3,0.495,79.2
226.3,0.494,79.1
226.3,0.495,79.1
226.3,0.496,79.2
226.3,0.495,79.2
226.3,0.495,79.1
226.3,0.495,79.2
226.3,0.496,79.5
226.3,0.495,79
226.3,0.497,79.2
226.2,0.495,79.2
226.2,0.495,79.2
226.2,0.496,79
226.2,0.495,79.2
226.2,0.496,79.1
226.2,0.496,79.2
226.2,0.495,79
226.2,0.496,79.2
226.2,0.494,79
226.2,0.496,79.2
226.2,0.495,79.1
226.2,0.495,79.2
226.2,0.495,79
226.2,0.495,79.1
226.2,0.496,79.2
226.2,0.495,79.2
226.2,0.496,79
226.2,0.496,79.1
226.2,0.495,79.1
226.2,0.496,79.2
226.2,0.495,79.1
226.3,0.496,79.2
226.3,0.496,79
226.3,0.497,79.2
226.3,0.495,79.1
226.3,0.496,79.1
226.3,0.495,79.1
226.3,0.495,79.2
226.2,0.494,79.1
226.2,0.496,79.2
226.2,0.495,79.1
226.2,0.495,79.1
226.2,0.495,79.3
226.2,0.495,79
226.2,0.496,79.2
226.2,0.495,79.1
226.2,0.496,79.1
226.2,0.496,79
226.2,0.496,79.2
226.2,0.497,79.1
226.3,0.495,79
226.3,0.496,79.2
226.2,0.495,79.1
226.2,0.495,79.1
226.2,0.495,79.2
226.2,0.495,79.1
226.2,0.497,79.2
226.3,0.497,79.6
226.2,0.494,79
226.3,0.495,79.1
226.3,0.496,79.2
226.3,0.495,79.2
226.3,0.496,79.1
226.3,0.496,79.1
226.4,0.496,79.1
226.3,0.496,79.2
226.3,0.495,79
226.3,0.495,79
226.3,0.496,79
226.3,0.496,79.1
226.3,0.495,79
226.3,0.496,79
226.3,0.495,79.1
226.3,0.495,79
226.3,0.495,79
226.3,0.495,79.1
226.3,0.495,79
226.3,0.495,79
226.3,0.495,79.1
226.3,0.496,79.2
226.3,0.494,78.9
226.3,0.495,79
226.3,0.495,79
226.3,0.496,79.1
226.3,0.496,79
226.3,0.495,79
226.3,0.495,79
226.3,0.494,78.9
226.3,0.495,79.2
226.2,0.494,78.8
226.2,0.495,79.1
226.2,0.495,79
226.3,0.496,79
226.2,0.496,79.1
226.2,0.495,78.9
226.2,0.496,79.1
226.2,0.494,78.8
226.2,0.494,78.9
226.2,0.497,79.2
226.2,0.495,78.9
226.2,0.494,79
226.2,0.496,79
226.2,0.495,79
226.1,0.494,78.9
226.1,0.495,79.1
226.1,0.495,78.9
226.1,0.495,79.1
226.1,0.496,79.5
226.1,0.494,78.9
226.1,0.495,78.9
226.1,0.495,79
226.1,0.495,79
226.1,0.496,79.1
226.1,0.495,79
226.1,0.495,79
226.1,0.495,79
226.1,0.495,79.1
226.1,0.494,78.9
226.1,0.496,79
226.1,0.495,79
226.1,0.494,78.9
226.1,0.495,79.1
226.2,0.495,79
226.1,0.495,79
226.1,0.494,78.9
226.1,0.495,79.2
226.1,0.495,78.8
226.1,0.495,79
226.1,0.494,78.9
226.1,0.495,79
226.2,0.494,79
226.1,0.494,79
226.1,0.495,79
226.1,0.496,78.9
226.1,0.495,79
226.1,0.494,79
226.2,0.494,78.9
226.1,0.495,79.1
226.2,0.493,78.9
226.2,0.494,78.9
226.1,0.494,79
226.1,0.494,78.9
226.1,0.495,78.9
226.1,0.494,79.1
226.1,0.494,78.9
226.1,0.494,78.9
226.1,0.495,79.1
226.1,0.494,78.9
226.1,0.495,79
226.1,0.494,78.8
226.1,0.494,79
226.1,0.494,79
226.1,0.495,79
226.1,0.496,79
226.1,0.494,78.9
226.1,0.496,79.1
226.1,0.495,79
226.1,0.496,79.4
226.1,0.493,78.9
226.1,0.495,78.9
226.1,0.494,79
226.1,0.495,79
226.1,0.494,79
226.2,0.494,78.9
226.1,0.495,78.9
226.1,0.495,79
226.1,0.494,78.9
226.1,0.495,79
226.1,0.496,78.9
226.1,0.495,79.1
226.1,0.495,79
226.1,0.494,78.9
226.1,0.494,78.9
226.1,0.494,79
226.1,0.496,79.1
226.2,0.496,78.9
226.2,0.495,79
226.2,0.494,78.9
226.2,0.495,79
226.2,0.495,79
226.2,0.494,78.9
226.2,0.496,79
226.2,0.495,79
226.3,0.494,78.9
226.3,0.494,78.9
226.3,0.494,79
226.3,0.494,79
226.3,0.494,79
226.3,0.494,79
226.3,0.494,79
226.4,0.494,79
226.4,0.494,79
226.4,0.495,79.1
226.4,0.495,78.9
226.4,0.494,79
226.4,0.494,79
226.4,0.494,79
226.3,0.494,78.8
226.4,0.494,79
226.3,0.493,78.9
226.3,0.496,79
226.3,0.494,78.9
226.3,0.495,79
226.3,0.495,79
226.3,0.495,79
226.3,0.495,78.9
